PLAYER_ID,PLAYER_NAME
203123,Kostas Papanikolaou
203124,Kyle O'Quinn
203128,Furkan Aldemir
203133,Robbie Hummel
203135,Robert Sacre
203136,Ognjen Kuzmic
203138,Hollis Thompson
203141,Mirza Teletovic
203142,Chris Copeland
203143,Pablo Prigioni
203144,Alexey Shved
203145,Kent Bazemore
203148,Brian Roberts
203156,Henry Sims
203187,Chris Johnson
203200,Justin Holiday
203210,JaMychal Green
203268,Jorge Gutierrez
203315,Toure Murry
203318,Glen Rice Jr.
203382,Aron Baynes
2034,Mike Miller
203457,Nerlens Noel
203458,Alex Len
203459,Allen Crabbe
203460,Andre Roberson
203461,Anthony Bennett
203462,Archie Goodwin
203463,Ben McLemore
203468,CJ McCollum
203469,Cody Zeller
203471,Dennis Schroder
203473,Dewayne Dedmon
203475,Erick Green
203476,Gorgui Dieng
203477,Isaiah Canaan
203479,Jamaal Franklin
203481,Jeff Withey
203482,Kelly Olynyk
203484,Kentavious Caldwell-Pope
203485,Lorenzo Brown
203486,Mason Plumlee
203487,Michael Carter-Williams
203488,Mike Muscala
203489,Nate Wolters
203490,Otto Porter
203492,Ray McCallum
203493,Reggie Bullock
203495,Ricky Ledo
203496,Robert Covington
203497,Rudy Gobert
203498,Shabazz Muhammad
203499,Shane Larkin
203500,Steven Adams
203501,Tim Hardaway Jr.
203503,Tony Snell
203504,Trey Burke
203505,Vander Blue
203506,Victor Oladipo
203507,Giannis Antetokounmpo
203508,Sergey Karasev
203511,Grant Jerrett
203512,Lucas Nogueira
203515,Phil Pressey
203516,James Ennis
203521,Matthew Dellavedova
203524,Solomon Hill
203527,Ryan Kelly
203530,Joffrey Lauvergne
203539,Gal Mekel
203540,Gigi Datome
203544,Pero Antic
203545,Miroslav Raduljica
203546,Ian Clark
203552,Seth Curry
203561,Brandon Davies
203564,Kalin Lucas
203565,Patrick Christopher
203580,Larry Drew
203584,Troy Daniels
2037,Jamal Crawford
203798,PJ Hairston
203805,Will Cherry
203893,Russ Smith
203894,Shabazz Napier
203897,Zach LaVine
203898,Tyler Ennis
203900,Markel Brown
203901,Elfrid Payton
203903,Jordan Clarkson
203906,Devyn Marble
203909,KJ McDaniels
203910,Nick Johnson
203912,CJ Wilcox
203913,Jabari Brown
203914,Gary Harris
203915,Spencer Dinwiddie
203917,Nik Stauskas
203918,Rodney Hood
203919,Jordan Adams
203921,Cleanthony Early
203922,Glenn Robinson
203923,James Young
203924,Jerami Grant
203925,Joe Harris
203926,Doug McDermott
203928,Cory Jefferson
203930,Sean Kilpatrick
203932,Aaron Gordon
203933,TJ Warren
203935,Marcus Smart
203937,Kyle Anderson
203939,Dwight Powell
203940,Adreian Payne
203943,Noah Vonleh
203944,Julius Randle
203945,Alex Kirk
203946,Cameron Bairstow
203948,Johnny O'Bryant
203949,James Michael McAdoo
203950,Jarnell Stokes
203952,Andrew Wiggins
203953,Jabari Parker
203955,Bryce Cotton
203956,Mitch McGary
203957,Dante Exum
203958,Andre Dawkins
203960,JaKarr Sampson
203961,Eric Moreland
203963,Shayne Whittington
203991,Clint Capela
203994,Jusuf Nurkic
203998,Bruno Caboclo
204014,Damjan Rudez
204020,Tyler Johnson
204021,Sim Bhullar
204022,Jack Cooley
204025,Tim Frazier
204028,Tarik Black
204033,David Wear
204037,Travis Wear
204038,Langston Galloway
204054,Zoran Dragic
204060,Joe Ingles
204065,David Stockton
204079,Drew Gordon
2045,Hedo Turkoglu
2199,Tyson Chandler
2200,Pau Gasol
2202,Jason Richardson
2207,Joe Johnson
2210,Richard Jefferson
2216,Zach Randolph
2217,Brendan Haywood
2222,Gerald Wallace
2223,Samuel Dalembert
2225,Tony Parker
2365,Chris Andersen
2399,Mike Dunleavy
2400,Drew Gooden
2403,Nene
2405,Amar'e Stoudemire
2406,Caron Butler
2419,Tayshaun Prince
2422,John Salmons
2430,Carlos Boozer
2440,Matt Barnes
2446,Rasual Butler
2449,Luis Scola
2457,Jannero Pargo
2501,Reggie Evans
2544,LeBron James
2546,Carmelo Anthony
2547,Chris Bosh
2548,Dwyane Wade
2549,Chris Kaman
2550,Kirk Hinrich
2555,Nick Collison
2557,Luke Ridnour
2561,David West
2563,Dahntay Jones
2564,Boris Diaw
2570,Kendrick Perkins
2571,Leandro Barbosa
2581,Steve Blake
2584,Willie Green
2585,Zaza Pachulia
2588,Matt Bonner
2590,Mo Williams
2592,James Jones
2594,Kyle Korver
2617,Udonis Haslem
2730,Dwight Howard
2732,Ben Gordon
2733,Shaun Livingston
2734,Devin Harris
2736,Luol Deng
2738,Andre Iguodala
2742,Sebastian Telfair
2743,Kris Humphries
2744,Al Jefferson
2746,Josh Smith
2747,J.R. Smith
2748,Dorell Wright
2749,Jameer Nelson
2754,Tony Allen
2755,Kevin Martin
2757,Beno Udrih
2760,Anderson Varejao
2772,Trevor Ariza
2853,Earl Barron
708,Kevin Garnett
977,Kobe Bryant
